一级分类,二级分类,三级分类,商品名称,商品HS码
半导体设备,晶圆衬底设备,单晶热处理设备,单晶热处理设备,84861010
,,晶圆切磨抛设备,晶圆研磨设备,84861020
,,,晶圆切割设备,84861030
,,,晶圆CMP设备,84861040
,,其他晶圆设备,其他晶圆设备,84861090
,前道制造设备,氧化扩散设备,氧化扩散设备,84862010
,,薄膜设备,CVD设备,84862021
,,,PVD设备,84862022
,,,其他薄膜设备,84862029
,,光刻设备,步进光刻设备,84862031
,,,其他光刻设备,84862039
,,刻蚀剥离设备,干法设备,84862041
,,,其他刻蚀设备,84862049
,,离子注入设备,离子注入设备,84862050
,,其他前道设备,其他前道设备,84862090
,面板制造设备,面板氧化扩散设备,面板氧化扩散设备,84863010
,,面板薄膜设备,面板CVD设备,84863021
,,,面板PVD设备,84863022
,,,其他面板薄膜设备,84863029
,,面板光刻设备,面板步进光刻面板,84863031
,,,面板其他光刻面板,84863039
,,面板清洗设备,面板超声清洗设备,84863041
,,,其他面板湿法设备,84863049
,,其他面板设备,其他面板设备,84863090
,封装和辅助设备,掩膜版设备,掩膜版设备,84864010
,,封装设备,塑封设备,84864021
,,,键合设备,84864022
,,,其他封装设备,84864029
,,搬运设备,搬运机器人,84864031
,,,其他搬运装置,84864039
,设备零件,一般设备零件,一般设备零件,84869010
,,引线键合,引线键合,84869020
,,溅射靶材,溅射靶材,84869091
,,其他设备零件,其他设备零件,84869099
,检测设备,非光学检测设备,晶圆或器件检测设备,90308200
,,,其他电量检测设备,90308490
,,光学检测设备,光学检测设备,90314100
晶圆材料,单晶硅棒,12脊璋,12脊璋,28046117
,,,3技耙陨瞎璋,28046119
,,,3家韵鹿璋,28046120
,晶圆衬底,3到6季г,3到6季г,38180011
,,8/12季г,8/12季г,38180019
,,其他晶圆,其他晶圆,38180090
半导体器件,分立器件,晶体管,普通二极管,85411000
,,,晶体管:＜1瓦,85412100
,,,晶体管:≥1瓦,85412900
,,,开关元件,85413000
,,光电器件,发光二极管LED,85414100
,,,光电池器件,85414200
,,,光电池模块,85414300
,,,其他光敏器件,85414900
,,传感器,湿度气压传感器,85415111
,,,理化招标传感器,85415112
,,,流体指标传感器,85415113
,,,其他传感器,85415119
,,其他分立器件,半导体电动机,85415121
,,,其他执行器,85415129
,,,振荡器,85415130
,,,谐振器,85415140
,,,其他半导体器件,85415900
,,,压电晶体,85416000
,,,其他器件零件,85419000
,集成电路,变流功能模块,变流功能模块,85423111
,,处理器及控制器,处理器及控制器模块,85423119
,,,处理器及控制器芯片,85423190
,,存储器,存储器模块,85423210
,,,存储器芯片,85423290
,,放大器,放大器模块,85423310
,,,放大器芯片,85423390
,,其他IC器件,其他IC器件,85423910
,,,其他IC芯片,85423990
,,IC零件,IC零件,85429000
其他元器件,电容器,固定电容,固定电容,85321000
,,钽电容,片式钽电容,85321110
,,,其他钽电容,85322190
,,铝电解电容,片式铝电解电容,85322210
,,,其他铝电解电容,85322290
,,陶瓷电容,单层陶瓷电容,85322300
,,,片式多层陶瓷电容,85322410
,,,其他多层陶瓷电容,85322490
,,纸、塑料介质电容,片式纸/塑料介质电容,85322510
,,,其他纸/塑料介质电容,85322590
,,未列名固定电容,未列名固定电容,85322900
,,可变电容,可变电容,85323000
,,电容器零件,固定电容零件,85329010
,,,其他电容零件,85329090
,,固定碳质电阻,固定碳质电阻,85331000
,,,片式固定电阻:≤20瓦,85332110
,,,其他固定电阻:≤20瓦,85332190
,,,其他固定电阻:＞20瓦,85332900
,,可变电阻,线绕可变电阻:≤20瓦,85333100
,,,线绕可变电阻:＞20瓦,85333900
,,,其他可变电阻器,85334000
,,电阻器零件,电阻器零件,85339000
,印刷电路PCB,四层以上PCB,四层以上PCB,85340010
,,四层及以下PCB,四层及以下PCB,85340090
,,,,
,,,,
https://mp.weixin.qq.com/s/VpkjJ4hVuohccnFpu0GvMA,,,,
